Ref,Val,Package,PosX,PosY,Rot,Side
"C23","100nF","CC0603KRX7R9BB104",19.050000,44.740000,180.000000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",1.740000,61.320000,180.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",34.010000,7.120000,180.000000,bottom
"R16","5.1k","RESC1005X40N",14.950000,8.850000,90.000000,bottom
"R17","5.1k","RESC1005X40N",11.940000,8.840000,90.000000,bottom
"ST1","B2B-EH-A (LF)(SN)","SHDR2W64P0X250_1X2_750X380X600P",25.420000,2.380000,180.000000,bottom
"ST2","USB4105-GF-A","GCT_USB4105-GF-A",13.680000,1.400000,180.000000,bottom
"ST3","~","KH-CL0.5-H2.0-30PIN",18.000000,28.300000,180.000000,bottom
"SW2","PTS810SJK250SMTRLFS","PTS810SJG250SMTRLFS",32.000000,2.200000,180.000000,bottom
"SW3","PTS810SJK250SMTRLFS","PTS810SJG250SMTRLFS",4.000000,2.200000,0.000000,bottom
"C1","47uF","CAPC3216X180N",5.700000,9.000000,180.000000,top
"C2","22uF","CAPC2012X140N",6.250000,12.000000,180.000000,top
"C3","47uF","CAPC3216X180N",12.600000,20.790000,0.000000,top
"C4","22uF","CAPC2012X140N",7.390000,20.810000,180.000000,top
"C5","100nF","CC0603KRX7R9BB104",10.440000,12.640000,0.000000,top
"C6","100nF","CC0603KRX7R9BB104",7.600000,18.600000,180.000000,top
"C7","100nF","CAPC1005X55N",21.100000,16.600000,-90.000000,top
"C8","22uF","CAPC2012X140N",25.800000,19.910000,0.000000,top
"C9","22uF","CAPC2012X140N",20.690000,19.920000,180.000000,top
"C10","10uF","CAPC2012X135N",28.200000,9.300000,0.000000,top
"C11","10uF","CAPC2012X135N",28.200000,11.600000,0.000000,top
"C12","100nF","CC0603KRX7R9BB104",24.900000,13.700000,90.000000,top
"C13","100nF","CAPC1005X55N",19.000000,12.500000,-90.000000,top
"C14","22uF","CAPC2012X140N",18.240000,56.500000,180.000000,top
"C15","22uF","CAPC2012X140N",22.500000,56.500000,0.000000,top
"C16","1uF","CAPC1005X55N",18.870000,52.710000,180.000000,top
"C17","100nF","CC0603KRX7R9BB104",22.310000,54.480000,0.000000,top
"C18","100nF","CC0603KRX7R9BB104",18.620000,54.460000,180.000000,top
"C19","1uF","CAPC1005X55N",24.100000,51.790000,90.000000,top
"C20","100nF","CC0603KRX7R9BB104",22.410000,52.060000,90.000000,top
"C21","1uF","CAPC1005X55N",14.470000,41.610000,180.000000,top
"C22","100nF","CC0603KRX7R9BB104",11.960000,46.480000,180.000000,top
"C24","100nF","CC0603KRX7R9BB104",11.720000,33.850000,180.000000,top
"C25","15pF","CAPC1005X55N",26.870000,50.735000,0.000000,top
"C26","15pF","CAPC1005X55N",27.300000,45.285000,180.000000,top
"C27","100nF","CAPC1005X55N",2.450000,5.060000,0.000000,top
"C28","1uF","CAPC1005X55N",31.580000,15.170000,-90.000000,top
"C29","1uF","CAPC1005X55N",22.500000,23.020000,0.000000,top
"C30","1uF","CAPC1005X55N",11.720000,28.670000,0.000000,top
"C31","1uF","CAPC1005X55N",20.690000,31.420000,0.000000,top
"C32","100nF","CAPC1005X55N",11.785000,27.040000,0.000000,top
"D1","APHHS1005CGCK","LED_APHHS1005CGCK",16.537500,21.590000,180.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",33.890000,3.570000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",1.740000,61.320000,0.000000,top
"IC1","AP2112K-3.3","SOT-23-5",10.710000,15.462500,90.000000,top
"IC2","MPQ4420HGJ-Z","TSOT23-8_MPQ4420H_MNP",22.000000,13.400000,180.000000,top
"IC3","W25Q128JVSIQ","SOIC127P790X216-8N",17.810000,35.760000,180.000000,top
"IC4","ESP32-S3R8","QFN40P700X700X90-57N",17.950000,46.265000,-90.000000,top
"IC5","AW9364DNR","SON50P200X200X80-9N-D",21.500000,25.550000,90.000000,top
"L1","10uH","IND_VLS252012HBX-100M-1",23.300000,17.000000,90.000000,top
"L2","22nH","INDC1608X95N",24.030000,49.225000,-135.000000,top
"Q1","40MHz","CRYSTAL-SMD_4P-L3.2-W2.5-BL",27.290000,48.005000,90.000000,top
"R1","100k","RC0402FR-07100KL",8.000000,14.750000,90.000000,top
"R2","20","RESC1005X40N",19.800000,16.700000,90.000000,top
"R3","1M","R0402",18.600000,14.000000,90.000000,top
"R4","100k","RC0402FR-07100KL",22.900000,10.900000,180.000000,top
"R5","51k","RESC1005X40N",20.200000,10.900000,180.000000,top
"R6","33k","RESC1005X40N",19.325000,9.740000,180.000000,top
"R7","8.2k","RESC1005X40N",17.832000,10.900000,180.000000,top
"R8","13k","RESC1005X40N",21.300000,9.740000,0.000000,top
"R9","100k","RC0402FR-07100KL",2.360000,16.920000,0.000000,top
"R10","10k","RC0402JR-0710KL",29.465000,15.000000,-90.000000,top
"R11","10k","RC0402JR-0710KL",4.330000,27.770000,90.000000,top
"R12","100k","RC0402FR-07100KL",3.443000,28.820000,180.000000,top
"R13","10k","RC0402JR-0710KL",6.390000,25.200000,0.000000,top
"R14","10k","RC0402JR-0710KL",31.130000,16.850000,-90.000000,top
"R15","220","RESC1005X40N",16.520000,20.200000,180.000000,top
"ST4","12 Pin 2.54 Header","X6511WV-12H-C60D30",5.319900,31.590000,-90.000000,top
"ST5","12 Pin 2.54 Header","X6511WV-12H-C60D30",30.719900,31.590000,-90.000000,top
"SW1","TS-1010B-B-A","SW_010B-B-A_XKB",33.370717,15.595429,-90.000000,top
